DG Entity ID,As Of Date,Entity Change Log Comment,Legal Entity Code (#),Entity Name,Sanitized Legal Entity Code,Sanitized Entity Name,Entity Type,DUNS Number,Effective Date,Termination Date,Filing End Date,Fiscal Year End,Country Of Incorporation,State Of Incorporation,Date Of Incorporation,Fund Status,Is DisplayOrgChart,Local Currency,Functional Currency,Reporting Currency,Entity Comment,Line Of Business,Street Address,City,County,Postal Code,Jurisdiction,State / Province / Locale,Region,Industry Level 1,Industry Level 2,Industry Level 3,Complexity,Descriptor,GloBE Type,Non-Material Constituent Entity,Investment Entity,Stateless,Flow-Through Entity,Parent Entity Type,Client Purview,External Organization,Restrict Third Parties
CB001,2024-12-31,Ultimate parent company creation,CBG001,ConsumerBrands Global Inc.,CBG001,ConsumerBrands Global Inc,Corporation,300000001,1837-01-01,,,06-30,USA,Ohio,1837-01-01,Active,TRUE,USD,USD,USD,Global consumer goods conglomerate - P&G style company,Consumer Goods,One ConsumerBrands Plaza,Cincinnati,Hamilton,45202,USA,Ohio,North America,Consumer Goods,FMCG,Diversified Consumer Products,Complex,Holding Company,Ultimate Parent Entity,FALSE,FALSE,FALSE,FALSE,Ultimate Parent Entity,In Scope,FALSE,FALSE
CB002,2024-12-31,North America regional HQ,CBNA001,ConsumerBrands North America LLC,CBNA001,ConsumerBrands North America LLC,LLC,300000002,1950-06-01,,,06-30,USA,Delaware,1950-06-01,Active,TRUE,USD,USD,USD,North American regional headquarters and operations,Regional Management,7575 Gateway Boulevard,Mason,Warren,45040,USA,Ohio,North America,Consumer Goods,Regional Operations,North America Management,Complex,Operating Company,Standard Entity,FALSE,FALSE,FALSE,FALSE,Subsidiary,In Scope,FALSE,FALSE
CB003,2024-12-31,Europe regional HQ,CBEU001,ConsumerBrands Europe SA,CBEU001,ConsumerBrands Europe SA,Corporation,300000003,1963-03-15,,,06-30,Switzerland,,1963-03-15,Active,TRUE,CHF,USD,USD,European regional headquarters,Regional Management,47 Route de Saint-Georges,Geneva,,1213,Switzerland,Geneva,Europe,Consumer Goods,Regional Operations,Europe Management,Complex,Operating Company,Standard Entity,FALSE,FALSE,FALSE,FALSE,Subsidiary,In Scope,FALSE,FALSE
CB004,2024-12-31,Asia Pacific regional HQ,CBAP001,ConsumerBrands Asia Pacific Pte Ltd,CBAP001,ConsumerBrands Asia Pacific Pte Ltd,Corporation,300000004,1985-09-01,,,06-30,Singapore,,1985-09-01,Active,TRUE,SGD,USD,USD,Asia Pacific regional headquarters,Regional Management,70 Biopolis Street,Singapore,,138547,Singapore,Singapore,Asia Pacific,Consumer Goods,Regional Operations,APAC Management,Complex,Operating Company,Standard Entity,FALSE,FALSE,FALSE,FALSE,Subsidiary,In Scope,FALSE,FALSE
CB005,2024-12-31,Latin America regional HQ,CBLA001,ConsumerBrands Latin America Ltda,CBLA001,ConsumerBrands Latin America Ltda,Ltda.,300000005,1988-04-01,,,06-30,Brazil,,1988-04-01,Active,TRUE,BRL,USD,USD,Latin American regional headquarters,Regional Management,Avenida das Nações Unidas 14171,São Paulo,,04794-000,Brazil,São Paulo,South America,Consumer Goods,Regional Operations,LATAM Management,Complex,Operating Company,Standard Entity,FALSE,FALSE,FALSE,FALSE,Subsidiary,In Scope,FALSE,FALSE
CB006,2024-12-31,Beauty care division,CBBC001,ConsumerBrands Beauty Care Inc.,CBBC001,ConsumerBrands Beauty Care Inc,Corporation,300000006,1990-01-01,,,06-30,USA,New York,1990-01-01,Active,TRUE,USD,USD,USD,Beauty and personal care brands division,Beauty Care,350 Fifth Avenue,New York,New York,10118,USA,New York,North America,Consumer Goods,Beauty,Cosmetics & Personal Care,Complex,Operating Company,Standard Entity,FALSE,FALSE,FALSE,FALSE,Subsidiary,In Scope,FALSE,FALSE
CB007,2024-12-31,Home care division,CBHC001,ConsumerBrands Home Care LLC,CBHC001,ConsumerBrands Home Care LLC,LLC,300000007,1945-07-01,,,06-30,USA,Delaware,1945-07-01,Active,TRUE,USD,USD,USD,Home care and cleaning products division,Home Care,8700 Mason Montgomery Road,Mason,Warren,45040,USA,Ohio,North America,Consumer Goods,Home Care,Cleaning Products,Complex,Operating Company,Standard Entity,FALSE,FALSE,FALSE,FALSE,Subsidiary,In Scope,FALSE,FALSE
CB008,2024-12-31,Health care division,CBHH001,ConsumerBrands Health Holdings Inc.,CBHH001,ConsumerBrands Health Holdings Inc,Corporation,300000008,1985-11-01,,,06-30,USA,Delaware,1985-11-01,Active,TRUE,USD,USD,USD,Consumer health care products division,Health Care,6090 Center Hill Avenue,Cincinnati,Hamilton,45224,USA,Ohio,North America,Consumer Goods,Health Care,OTC Medicines,Complex,Operating Company,Standard Entity,FALSE,FALSE,FALSE,FALSE,Subsidiary,In Scope,FALSE,FALSE
CB009,2024-12-31,Baby & family care division,CBBF001,ConsumerBrands Baby & Family Care Corp,CBBF001,ConsumerBrands Baby & Family Care Corp,Corporation,300000009,1961-08-01,,,06-30,USA,Delaware,1961-08-01,Active,TRUE,USD,USD,USD,Baby diapers and family care products,Baby & Family Care,6110 Center Hill Avenue,Cincinnati,Hamilton,45224,USA,Ohio,North America,Consumer Goods,Baby Care,Diapers & Wipes,Complex,Operating Company,Standard Entity,FALSE,FALSE,FALSE,FALSE,Subsidiary,In Scope,FALSE,FALSE
CB010,2024-12-31,Fabric & home care division,CBFH001,ConsumerBrands Fabric & Home Care LLC,CBFH001,ConsumerBrands Fabric & Home Care LLC,LLC,300000010,1946-03-01,,,06-30,USA,Delaware,1946-03-01,Active,TRUE,USD,USD,USD,Laundry detergents and fabric care products,Fabric Care,5299 Spring Grove Avenue,Cincinnati,Hamilton,45217,USA,Ohio,North America,Consumer Goods,Fabric Care,Laundry Products,Complex,Operating Company,Standard Entity,FALSE,FALSE,FALSE,FALSE,Subsidiary,In Scope,FALSE,FALSE
CB011,2024-12-31,Premium beauty subsidiary,CBPB001,Prestige Beauty Brands Inc.,CBPB001,Prestige Beauty Brands Inc,Corporation,300000011,2016-07-01,,,06-30,USA,Delaware,2016-07-01,Active,TRUE,USD,USD,USD,Luxury and prestige beauty brands,Prestige Beauty,767 Fifth Avenue,New York,New York,10153,USA,New York,North America,Consumer Goods,Beauty,Luxury Cosmetics,Medium,Operating Company,Standard Entity,FALSE,FALSE,FALSE,FALSE,Subsidiary,In Scope,FALSE,FALSE
CB012,2024-12-31,Oral care subsidiary,CBOC001,ConsumerBrands Oral Care Inc.,CBOC001,ConsumerBrands Oral Care Inc,Corporation,300000012,1955-01-01,,,06-30,USA,Delaware,1955-01-01,Active,TRUE,USD,USD,USD,Toothpaste and oral care products,Oral Care,4700 Creek Road,Cincinnati,Hamilton,45242,USA,Ohio,North America,Consumer Goods,Personal Care,Oral Hygiene,Medium,Operating Company,Standard Entity,FALSE,FALSE,FALSE,FALSE,Subsidiary,In Scope,FALSE,FALSE
CB013,2024-12-31,Hair care subsidiary,CBHAIR001,ConsumerBrands Hair Care International LLC,CBHAIR001,ConsumerBrands Hair Care International LLC,LLC,300000013,1945-06-01,,,06-30,USA,Delaware,1945-06-01,Active,TRUE,USD,USD,USD,Shampoo and hair care products,Hair Care,11050 York Road,Hunt Valley,Baltimore,21030,USA,Maryland,North America,Consumer Goods,Personal Care,Hair Products,Medium,Operating Company,Standard Entity,FALSE,FALSE,FALSE,FALSE,Subsidiary,In Scope,FALSE,FALSE
CB014,2024-12-31,Grooming products subsidiary,CBGR001,ConsumerBrands Grooming Inc.,CBGR001,ConsumerBrands Grooming Inc,Corporation,300000014,1901-09-01,,,06-30,USA,Massachusetts,1901-09-01,Active,TRUE,USD,USD,USD,Shaving and grooming products,Grooming,One Razor Boulevard,Boston,Suffolk,02127,USA,Massachusetts,North America,Consumer Goods,Personal Care,Shaving Products,Complex,Operating Company,Standard Entity,FALSE,FALSE,FALSE,FALSE,Subsidiary,In Scope,FALSE,FALSE
CB015,2024-12-31,UK operations,CBUK001,ConsumerBrands UK Limited,CBUK001,ConsumerBrands UK Limited,Limited Company,300000015,1930-05-01,,,06-30,United Kingdom,England,1930-05-01,Active,TRUE,GBP,USD,USD,UK and Ireland operations,UK Operations,The Heights Brooklands,Weybridge,,KT13 0XP,United Kingdom,Surrey,Europe,Consumer Goods,Regional Operations,UK & Ireland,Complex,Operating Company,Standard Entity,FALSE,FALSE,FALSE,FALSE,Subsidiary,In Scope,FALSE,FALSE
CB016,2024-12-31,Germany operations,CBDE001,ConsumerBrands Deutschland GmbH,CBDE001,ConsumerBrands Deutschland GmbH,GmbH,300000016,1960-01-15,,,06-30,Germany,Hesse,1960-01-15,Active,TRUE,EUR,USD,USD,German and Austrian operations,German Operations,Sulzbacher Straße 40,Schwalbach am Taunus,,65824,Germany,Hesse,Europe,Consumer Goods,Regional Operations,DACH Region,Complex,Operating Company,Standard Entity,FALSE,FALSE,FALSE,FALSE,Subsidiary,In Scope,FALSE,FALSE
CB017,2024-12-31,France operations,CBFR001,ConsumerBrands France SAS,CBFR001,ConsumerBrands France SAS,SAS,300000017,1954-04-01,,,06-30,France,,1954-04-01,Active,TRUE,EUR,USD,USD,French operations,French Operations,163 Quai Aulagnier,Asnières-sur-Seine,,92600,France,Île-de-France,Europe,Consumer Goods,Regional Operations,France,Medium,Operating Company,Standard Entity,FALSE,FALSE,FALSE,FALSE,Subsidiary,In Scope,FALSE,FALSE
CB018,2024-12-31,Japan operations,CBJP001,ConsumerBrands Japan K.K.,CBJP001,ConsumerBrands Japan K.K.,Corporation,300000018,1973-07-01,,,06-30,Japan,,1973-07-01,Active,TRUE,JPY,USD,USD,Japanese operations,Japanese Operations,5-3-1 Sunayama,Kobe,,651-0083,Japan,Hyogo,Asia Pacific,Consumer Goods,Regional Operations,Japan,Complex,Operating Company,Standard Entity,FALSE,FALSE,FALSE,FALSE,Subsidiary,In Scope,FALSE,FALSE
CB019,2024-12-31,China operations,CBCN001,ConsumerBrands China Co. Ltd.,CBCN001,ConsumerBrands China Co Ltd,Limited Company,300000019,1988-10-01,,,06-30,China,,1988-10-01,Active,TRUE,CNY,USD,USD,Greater China operations,China Operations,228 Tianhe Road,Guangzhou,,510620,China,Guangdong,Asia Pacific,Consumer Goods,Regional Operations,Greater China,Complex,Operating Company,Standard Entity,FALSE,FALSE,FALSE,FALSE,Subsidiary,In Scope,FALSE,FALSE
CB020,2024-12-31,India operations,CBIN001,ConsumerBrands India Private Limited,CBIN001,ConsumerBrands India Private Limited,Private Limited Company,300000020,1964-01-01,,,06-30,India,,1964-01-01,Active,TRUE,INR,USD,USD,Indian subcontinent operations,India Operations,ConsumerBrands Plaza Hiranandani,Mumbai,,400607,India,Maharashtra,Asia Pacific,Consumer Goods,Regional Operations,South Asia,Complex,Operating Company,Standard Entity,FALSE,FALSE,FALSE,FALSE,Subsidiary,In Scope,FALSE,FALSE
CB021,2024-12-31,Manufacturing company Ohio,CBMF001,ConsumerBrands Manufacturing Ohio LLC,CBMF001,ConsumerBrands Manufacturing Ohio LLC,LLC,300000021,1920-01-01,,,06-30,USA,Ohio,1920-01-01,Active,TRUE,USD,USD,USD,Primary US manufacturing facility,Manufacturing,1601 West Stewart Street,Lima,Allen,45801,USA,Ohio,North America,Manufacturing,Production,Consumer Goods Manufacturing,Complex,Operating Company,Standard Entity,FALSE,FALSE,FALSE,FALSE,Subsidiary,In Scope,FALSE,FALSE
CB022,2024-12-31,Manufacturing company Mexico,CBMX001,ConsumerBrands Manufacturing Mexico S.A. de C.V.,CBMX001,ConsumerBrands Manufacturing Mexico SA de CV,S.A. de C.V.,300000022,1987-05-01,,,06-30,Mexico,,1987-05-01,Active,TRUE,MXN,USD,USD,Mexican manufacturing operations,Manufacturing,Boulevard Manuel Ávila Camacho 1994,Mexico City,,11560,Mexico,Mexico City,North America,Manufacturing,Production,LATAM Manufacturing,Medium,Operating Company,Standard Entity,FALSE,FALSE,FALSE,FALSE,Subsidiary,In Scope,FALSE,FALSE
CB023,2024-12-31,Manufacturing company China,CBMFCN001,ConsumerBrands Manufacturing Guangzhou Ltd,CBMFCN001,ConsumerBrands Manufacturing Guangzhou Ltd,Limited Company,300000023,1995-08-01,,,06-30,China,,1995-08-01,Active,TRUE,CNY,USD,USD,Chinese manufacturing hub,Manufacturing,1 Innovation Road Guangzhou Economic Zone,Guangzhou,,510530,China,Guangdong,Asia Pacific,Manufacturing,Production,Asia Manufacturing,Complex,Operating Company,Standard Entity,FALSE,FALSE,FALSE,FALSE,Subsidiary,In Scope,FALSE,FALSE
CB024,2024-12-31,Innovation center,CBINN001,ConsumerBrands Innovation LLC,CBINN001,ConsumerBrands Innovation LLC,LLC,300000024,2000-01-01,,,06-30,USA,Delaware,2000-01-01,Active,TRUE,USD,USD,USD,Global R&D and innovation center,Research & Development,8700 Mason Montgomery Road,Mason,Warren,45040,USA,Ohio,North America,Research,R&D,Product Innovation,Complex,Operating Company,Standard Entity,FALSE,FALSE,FALSE,FALSE,Subsidiary,In Scope,FALSE,FALSE
