DG Entity ID,As Of Date,Entity Change Log Comment,Legal Entity Code (#),Entity Name,Sanitized Legal Entity Code,Sanitized Entity Name,Entity Type,DUNS Number,Effective Date,Termination Date,Filing End Date,Fiscal Year End,Country Of Incorporation,State Of Incorporation,Date Of Incorporation,Fund Status,Is DisplayOrgChart,Local Currency,Functional Currency,Reporting Currency,Entity Comment,Line Of Business,Street Address,City,County,Postal Code,Jurisdiction,State / Province / Locale,Region,Industry Level 1,Industry Level 2,Industry Level 3,Complexity,Descriptor,GloBE Type,Non-Material Constituent Entity,Investment Entity,Stateless,Flow-Through Entity,Parent Entity Type,Client Purview,External Organization,Restrict Third Parties
GB001,2024-12-31,Ultimate parent company creation,GBC001,The GlobalBeverage Company,GBC001,The GlobalBeverage Company,Corporation,400000001,1886-05-08,,,12-31,USA,Delaware,1886-05-08,Active,TRUE,USD,USD,USD,Global beverage concentrate and syrup manufacturer - Coca-Cola style,Beverage Concentrates,One GlobalBeverage Plaza,Atlanta,Fulton,30313,USA,Georgia,North America,Beverages,Non-Alcoholic Beverages,Soft Drink Concentrates,Complex,Holding Company,Ultimate Parent Entity,FALSE,FALSE,FALSE,FALSE,Ultimate Parent Entity,In Scope,FALSE,FALSE
GB002,2024-12-31,North America operating unit,GBNA001,GlobalBeverage North America Inc.,GBNA001,GlobalBeverage North America Inc,Corporation,400000002,1920-06-01,,,12-31,USA,Delaware,1920-06-01,Active,TRUE,USD,USD,USD,North American concentrate and finished products operations,Regional Operations,One GlobalBeverage Plaza,Atlanta,Fulton,30313,USA,Georgia,North America,Beverages,Regional Operations,North America Operations,Complex,Operating Company,Standard Entity,FALSE,FALSE,FALSE,FALSE,Subsidiary,In Scope,FALSE,FALSE
GB003,2024-12-31,Latin America operating unit,GBLA001,GlobalBeverage Latin America Inc.,GBLA001,GlobalBeverage Latin America Inc,Corporation,400000003,1942-03-15,,,12-31,USA,Delaware,1942-03-15,Active,TRUE,USD,USD,USD,Latin American concentrate operations,Regional Operations,One GlobalBeverage Plaza,Atlanta,Fulton,30313,USA,Georgia,North America,Beverages,Regional Operations,Latin America Operations,Complex,Operating Company,Standard Entity,FALSE,FALSE,FALSE,FALSE,Subsidiary,In Scope,FALSE,FALSE
GB004,2024-12-31,Europe Middle East Africa unit,GBEMEA001,GlobalBeverage EMEA Ltd,GBEMEA001,GlobalBeverage EMEA Ltd,Limited Company,400000004,1945-09-01,,,12-31,United Kingdom,England,1945-09-01,Active,TRUE,GBP,USD,USD,Europe Middle East and Africa operations,Regional Operations,1 Queen Caroline Street,London,,W6 9HQ,United Kingdom,England,Europe,Beverages,Regional Operations,EMEA Operations,Complex,Operating Company,Standard Entity,FALSE,FALSE,FALSE,FALSE,Subsidiary,In Scope,FALSE,FALSE
GB005,2024-12-31,Asia Pacific operating unit,GBAP001,GlobalBeverage Asia Pacific Ltd,GBAP001,GlobalBeverage Asia Pacific Ltd,Limited Company,400000005,1965-04-01,,,12-31,Hong Kong,,1965-04-01,Active,TRUE,HKD,USD,USD,Asia Pacific concentrate operations,Regional Operations,28/F One Island East,Hong Kong,,999077,Hong Kong,Hong Kong,Asia Pacific,Beverages,Regional Operations,Asia Pacific Operations,Complex,Operating Company,Standard Entity,FALSE,FALSE,FALSE,FALSE,Subsidiary,In Scope,FALSE,FALSE
GB006,2024-12-31,Concentrate manufacturing,GBCON001,GlobalBeverage Concentrates LLC,GBCON001,GlobalBeverage Concentrates LLC,LLC,400000006,1920-01-01,,,12-31,USA,Delaware,1920-01-01,Active,TRUE,USD,USD,USD,Global concentrate and syrup production,Concentrate Manufacturing,1000 Industry Drive,Atlanta,Fulton,30309,USA,Georgia,North America,Manufacturing,Beverage Manufacturing,Concentrate Production,Complex,Operating Company,Standard Entity,FALSE,FALSE,FALSE,FALSE,Subsidiary,In Scope,FALSE,FALSE
GB007,2024-12-31,North America bottling operations,GBNAB001,GlobalBeverage North America Bottling LLC,GBNAB001,GlobalBeverage North America Bottling LLC,LLC,400000007,1899-07-01,,,12-31,USA,Delaware,1899-07-01,Active,TRUE,USD,USD,USD,Company-owned bottling operations in North America,Bottling Operations,5200 Northpoint Parkway,Alpharetta,Fulton,30022,USA,Georgia,North America,Manufacturing,Beverage Manufacturing,Bottling & Distribution,Complex,Operating Company,Standard Entity,FALSE,FALSE,FALSE,FALSE,Subsidiary,In Scope,FALSE,FALSE
GB008,2024-12-31,European bottling operations,GBEB001,GlobalBeverage European Bottling B.V.,GBEB001,GlobalBeverage European Bottling BV,B.V.,400000008,1968-01-15,,,12-31,Netherlands,,1968-01-15,Active,TRUE,EUR,USD,USD,Company-owned European bottling operations,Bottling Operations,Stationsplein 1,Amsterdam,,1012 AB,Netherlands,North Holland,Europe,Manufacturing,Beverage Manufacturing,European Bottling,Complex,Operating Company,Standard Entity,FALSE,FALSE,FALSE,FALSE,Subsidiary,In Scope,FALSE,FALSE
GB009,2024-12-31,Brand marketing company,GBBM001,GlobalBeverage Brand Marketing Inc.,GBBM001,GlobalBeverage Brand Marketing Inc,Corporation,400000009,1985-11-01,,,12-31,USA,Delaware,1985-11-01,Active,TRUE,USD,USD,USD,Global brand management and marketing operations,Brand Marketing,One GlobalBeverage Plaza,Atlanta,Fulton,30313,USA,Georgia,North America,Marketing,Brand Management,Global Marketing,Complex,Operating Company,Standard Entity,FALSE,FALSE,FALSE,FALSE,Subsidiary,In Scope,FALSE,FALSE
GB010,2024-12-31,Sports and energy drinks,GBSE001,GlobalBeverage Sports & Energy Inc.,GBSE001,GlobalBeverage Sports & Energy Inc,Corporation,400000010,2001-08-01,,,12-31,USA,Delaware,2001-08-01,Active,TRUE,USD,USD,USD,Sports drinks and energy beverage brands,Sports & Energy Drinks,One GlobalBeverage Plaza,Atlanta,Fulton,30313,USA,Georgia,North America,Beverages,Sports Drinks,Energy Beverages,Medium,Operating Company,Standard Entity,FALSE,FALSE,FALSE,FALSE,Subsidiary,In Scope,FALSE,FALSE
